Product Id ,Product Name ,Type        ,Color  ,Weight ,Size   ,Company       ,Price
         1 ,Laptop       ,Accessories ,Purple ,  0.71 ,Medium ,Innovatech    , 637.46
         2 ,Keyboard     ,Peripheral  ,Silver ,  4.85 ,Large  ,TechCorp      ,1040.42
         3 ,Smartphone   ,Accessories ,Blue   ,  4.46 ,Large  ,Innovatech    ,1560.65
         4 ,Mouse        ,Gadget      ,Blue   ,  2.73 ,Small  ,GizmoWorks    , 431.01
         5 ,Headphones   ,Peripheral  ,Yellow ,  3.24 ,Small  ,TechCorp      , 445.21
         6 ,Headphones   ,Electronics ,Black  ,  1.88 ,Small  ,Innovatech    , 918.11
         7 ,Camera       ,Peripheral  ,Silver ,  0.62 ,Medium ,GizmoWorks    ,  71.01
         8 ,Smartwatch   ,Peripheral  ,Silver ,  2.3  ,Small  ,FutureGadgets , 365.63
         9 ,Smartphone   ,Gadget      ,Red    ,  2.18 ,Medium ,TechCorp      ,1259.68
        10 ,Monitor      ,Peripheral  ,Blue   ,  4.76 ,Small  ,ElectroWorld  , 678.29
        11 ,Headphones   ,Electronics ,Red    ,  3.87 ,Medium ,ElectroWorld  ,  91.08
        12 ,Camera       ,Gadget      ,Purple ,  0.55 ,Medium ,GizmoWorks    , 141.94
        13 ,Keyboard     ,Gadget      ,Green  ,  1.14 ,Small  ,ElectroWorld  ,1214.66
        14 ,Keyboard     ,Electronics ,Red    ,  4.5  ,Medium ,TechCorp      ,1986.38
        15 ,Tablet       ,Accessories ,Red    ,  3.91 ,Large  ,TechCorp      ,1424.65
        16 ,Mouse        ,Gadget      ,White  ,  4.48 ,Small  ,TechCorp      , 101.15
        17 ,Smartwatch   ,Peripheral  ,Green  ,  1.17 ,Large  ,Innovatech    ,1604.75
        18 ,Keyboard     ,Electronics ,Green  ,  2.75 ,Medium ,TechCorp      ,1883.91
        19 ,Smartphone   ,Peripheral  ,White  ,  1.06 ,Medium ,FutureGadgets ,1753.38
        20 ,Tablet       ,Electronics ,Green  ,  1.26 ,Small  ,GizmoWorks    , 175.14
        21 ,Smartphone   ,Accessories ,White  ,  2.23 ,Small  ,ElectroWorld  ,1087.54
        22 ,Camera       ,Accessories ,Silver ,  4.94 ,Medium ,GizmoWorks    , 565.4
        23 ,Smartphone   ,Electronics ,Yellow ,  1.68 ,Small  ,FutureGadgets ,1583.0
        24 ,Tablet       ,Peripheral  ,Silver ,  2.51 ,Small  ,Innovatech    , 736.29
        25 ,Smartphone   ,Electronics ,Blue   ,  4.82 ,Large  ,Innovatech    ,1767.96
        26 ,Tablet       ,Gadget      ,Purple ,  3.18 ,Medium ,ElectroWorld  , 193.94
        27 ,Monitor      ,Peripheral  ,Blue   ,  0.94 ,Large  ,GizmoWorks    ,1989.49
        28 ,Laptop       ,Gadget      ,Pink   ,  0.72 ,Medium ,TechCorp      ,1924.99
        29 ,Smartphone   ,Peripheral  ,Purple ,  4.2  ,Small  ,ElectroWorld  ,  59.31
        30 ,Keyboard     ,Electronics ,Purple ,  4.62 ,Medium ,TechCorp      , 631.51
